ensemble-ratio,precision,recall,f-beta,beta
0.0002085070892410342,1.0,0.030303030303030304,0.05882352941176471,1
0.010216847372810676,1.0,0.030303030303030304,0.05882352941176471,1
0.020225187656380317,1.0,0.030303030303030304,0.05882352941176471,1
0.030442035029190993,1.0,0.030303030303030304,0.05882352941176471,1
0.040450375312760634,1.0,0.030303030303030304,0.05882352941176471,1
0.05066722268557131,1.0,0.030303030303030304,0.05882352941176471,1
0.06067556296914095,1.0,0.030303030303030304,0.05882352941176471,1
0.07089241034195162,1.0,0.030303030303030304,0.05882352941176471,1
0.08090075062552127,1.0,0.030303030303030304,0.05882352941176471,1
0.09090909090909091,1.0,0.030303030303030304,0.05882352941176471,1
0.10112593828190158,1.0,0.030303030303030304,0.05882352941176471,1
0.11113427856547123,1.0,0.030303030303030304,0.05882352941176471,1
0.1213511259382819,1.0,0.030303030303030304,0.05882352941176471,1
0.13135946622185155,1.0,0.030303030303030304,0.05882352941176471,1
0.14157631359466222,1.0,0.030303030303030304,0.05882352941176471,1
0.15158465387823186,1.0,0.030303030303030304,0.05882352941176471,1
0.1615929941618015,1.0,0.030303030303030304,0.05882352941176471,1
0.17180984153461218,1.0,0.030303030303030304,0.05882352941176471,1
0.18181818181818182,1.0,0.030303030303030304,0.05882352941176471,1
0.1920350291909925,1.0,0.030303030303030304,0.05882352941176471,1
0.20204336947456214,1.0,0.030303030303030304,0.05882352941176471,1
0.2122602168473728,1.0,0.030303030303030304,0.05882352941176471,1
0.22226855713094246,1.0,0.030303030303030304,0.05882352941176471,1
0.2322768974145121,1.0,0.030303030303030304,0.05882352941176471,1
0.24249374478732277,1.0,0.030303030303030304,0.05882352941176471,1
0.2525020850708924,1.0,0.030303030303030304,0.05882352941176471,1
0.2627189324437031,1.0,0.030303030303030304,0.05882352941176471,1
0.2727272727272727,1.0,0.030303030303030304,0.05882352941176471,1
0.2829441201000834,1.0,0.030303030303030304,0.05882352941176471,1
0.292952460383653,1.0,0.030303030303030304,0.05882352941176471,1
0.3031693077564637,1.0,0.030303030303030304,0.05882352941176471,1
0.31317764804003334,1.0,0.030303030303030304,0.05882352941176471,1
0.323185988323603,1.0,0.030303030303030304,0.05882352941176471,1
0.33340283569641366,1.0,0.030303030303030304,0.05882352941176471,1
0.34341117597998333,1.0,0.030303030303030304,0.05882352941176471,1
0.353628023352794,1.0,0.030303030303030304,0.05882352941176471,1
0.36363636363636365,1.0,0.030303030303030304,0.05882352941176471,1
0.3738532110091743,1.0,0.030303030303030304,0.05882352941176471,1
0.38386155129274396,1.0,0.030303030303030304,0.05882352941176471,1
0.3938698915763136,1.0,0.030303030303030304,0.05882352941176471,1
0.4040867389491243,1.0,0.030303030303030304,0.05882352941176471,1
0.4140950792326939,1.0,0.030303030303030304,0.05882352941176471,1
0.4243119266055046,1.0,0.030303030303030304,0.05882352941176471,1
0.4343202668890742,1.0,0.030303030303030304,0.05882352941176471,1
0.4445371142618849,1.0,0.030303030303030304,0.05882352941176471,1
0.45454545454545453,1.0,0.030303030303030304,0.05882352941176471,1
0.4645537948290242,1.0,0.030303030303030304,0.05882352941176471,1
0.47477064220183485,1.0,0.030303030303030304,0.05882352941176471,1
0.4847789824854045,1.0,0.030303030303030304,0.05882352941176471,1
0.49499582985821516,1.0,0.030303030303030304,0.05882352941176471,1
0.5050041701417848,1.0,0.030303030303030304,0.05882352941176471,1
0.5152210175145955,1.0,0.030303030303030304,0.05882352941176471,1
0.5252293577981652,1.0,0.030303030303030304,0.05882352941176471,1
0.5354462051709759,1.0,0.030303030303030304,0.05882352941176471,1
