al-step,ensemble-time,ensemble,precision,benchmark,f1,synth-time,eval-time,al-time,recall,run,examples,threshold
0,3.700482130050659,disjunction,0.014820042342978124,wiki-cell,0.029207232267037555,46.93159317970276,523.8238446712494,0.09928250312805176,1.0,2,1,0
0,3.700482130050659,majority-vote,0.014820042342978124,wiki-cell,0.029207232267037555,46.93159317970276,523.8238446712494,0.14823150634765625,1.0,2,1,0.0
0,3.700482130050659,majority-vote,0.014921837991473235,wiki-cell,0.0294049008168028,46.93159317970276,523.8238446712494,0.13683843612670898,1.0,2,1,0.003333333333333333
0,3.700482130050659,majority-vote,0.015570934256055362,wiki-cell,0.030664395229982964,46.93159317970276,523.8238446712494,0.15730524063110352,1.0,2,1,0.006666666666666666
0,3.700482130050659,majority-vote,0.23333333333333334,wiki-cell,0.37837837837837834,46.93159317970276,523.8238446712494,0.13567066192626953,1.0,2,1,0.01
0,3.700482130050659,majority-vote,0.23333333333333334,wiki-cell,0.37837837837837834,46.93159317970276,523.8238446712494,0.18113160133361816,1.0,2,1,0.013333333333333332
0,3.700482130050659,majority-vote,0.45652173913043476,wiki-cell,0.626865671641791,46.93159317970276,523.8238446712494,0.1533031463623047,1.0,2,1,0.016666666666666666
0,3.700482130050659,majority-vote,0.45652173913043476,wiki-cell,0.626865671641791,46.93159317970276,523.8238446712494,0.09904742240905762,1.0,2,1,0.02
0,3.700482130050659,majority-vote,0.5833333333333334,wiki-cell,0.7368421052631579,46.93159317970276,523.8238446712494,0.16013693809509277,1.0,2,1,0.023333333333333334
0,3.700482130050659,majority-vote,0.5833333333333334,wiki-cell,0.7368421052631579,46.93159317970276,523.8238446712494,0.15605950355529785,1.0,2,1,0.026666666666666665
0,3.700482130050659,majority-vote,0.5833333333333334,wiki-cell,0.7368421052631579,46.93159317970276,523.8238446712494,0.16613435745239258,1.0,2,1,0.03
0,3.700482130050659,weighted-vote,0.0,wiki-cell,0.0,46.93159317970276,523.8238446712494,0.3717045783996582,0.0,2,1,0
1,3.700482130050659,weighted-vote,1.0,wiki-cell,0.0909090909090909,46.93159317970276,523.8238446712494,0.4616975784301758,0.047619047619047616,2,1,0
2,3.700482130050659,weighted-vote,1.0,wiki-cell,0.8440366972477064,46.93159317970276,523.8238446712494,0.409116268157959,0.7301587301587301,2,1,0
3,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.47760987281799316,1.0,2,1,0
4,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.4006028175354004,1.0,2,1,0
5,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.47783875465393066,1.0,2,1,0
6,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.4986155033111572,1.0,2,1,0
7,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.6352834701538086,1.0,2,1,0
