synth-time,benchmark,threshold,al-step,ensemble,run,eval-time,al-time,recall,ensemble-time,precision,f1,examples
0.009822845458984375,politician,0,0,disjunction,3,2.4557113647460938e-05,0.020637989044189453,1.0,0.7087225914001465,0.062046736502820304,0.11684370257966616,1
0.009822845458984375,politician,0.0,0,majority-vote,3,2.4557113647460938e-05,0.010119915008544922,1.0,0.7087225914001465,0.062046736502820304,0.11684370257966616,1
0.009822845458984375,politician,0.003333333333333333,0,majority-vote,3,2.4557113647460938e-05,0.007086277008056641,1.0,0.7087225914001465,0.07995846313603323,0.14807692307692308,1
0.009822845458984375,politician,0.006666666666666666,0,majority-vote,3,2.4557113647460938e-05,0.0038061141967773438,1.0,0.7087225914001465,0.07995846313603323,0.14807692307692308,1
0.009822845458984375,politician,0.01,0,majority-vote,3,2.4557113647460938e-05,0.005293846130371094,1.0,0.7087225914001465,0.0958904109589041,0.175,1
0.009822845458984375,politician,0.013333333333333332,0,majority-vote,3,2.4557113647460938e-05,0.005059003829956055,1.0,0.7087225914001465,0.0958904109589041,0.175,1
0.009822845458984375,politician,0.016666666666666666,0,majority-vote,3,2.4557113647460938e-05,0.004450082778930664,1.0,0.7087225914001465,0.22254335260115607,0.3640661938534279,1
0.009822845458984375,politician,0.02,0,majority-vote,3,2.4557113647460938e-05,0.004479408264160156,1.0,0.7087225914001465,0.25925925925925924,0.4117647058823529,1
0.009822845458984375,politician,0.023333333333333334,0,majority-vote,3,2.4557113647460938e-05,0.00423121452331543,1.0,0.7087225914001465,0.25925925925925924,0.4117647058823529,1
0.009822845458984375,politician,0.026666666666666665,0,majority-vote,3,2.4557113647460938e-05,0.0041615962982177734,1.0,0.7087225914001465,0.4782608695652174,0.6470588235294118,1
0.009822845458984375,politician,0.03,0,majority-vote,3,2.4557113647460938e-05,0.0041387081146240234,1.0,0.7087225914001465,0.4782608695652174,0.6470588235294118,1
0.009822845458984375,politician,0,0,weighted-vote,3,2.4557113647460938e-05,0.02299952507019043,0.0,0.7087225914001465,0.0,0.0,1
0.009822845458984375,politician,0,1,weighted-vote,3,2.4557113647460938e-05,0.024617910385131836,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,2,weighted-vote,3,2.4557113647460938e-05,0.020429611206054688,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,3,weighted-vote,3,2.4557113647460938e-05,0.017780303955078125,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,4,weighted-vote,3,2.4557113647460938e-05,0.018399953842163086,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,5,weighted-vote,3,2.4557113647460938e-05,0.020093202590942383,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,6,weighted-vote,3,2.4557113647460938e-05,0.018306732177734375,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,7,weighted-vote,3,2.4557113647460938e-05,0.01754593849182129,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,8,weighted-vote,3,2.4557113647460938e-05,0.016232013702392578,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,9,weighted-vote,3,2.4557113647460938e-05,0.01821422576904297,1.0,0.7087225914001465,1.0,1.0,1
0.009822845458984375,politician,0,10,weighted-vote,3,2.4557113647460938e-05,0.017757415771484375,1.0,0.7087225914001465,1.0,1.0,1
0.06235814094543457,politician,0,0,disjunction,2,5.269050598144531e-05,0.024208545684814453,1.0,2.8566932678222656,0.051643192488262914,0.09821428571428571,1
0.06235814094543457,politician,0.0,0,majority-vote,2,5.269050598144531e-05,0.023690223693847656,1.0,2.8566932678222656,0.051643192488262914,0.09821428571428571,1
0.06235814094543457,politician,0.003333333333333333,0,majority-vote,2,5.269050598144531e-05,0.017196178436279297,1.0,2.8566932678222656,0.08974358974358974,0.1647058823529412,1
0.06235814094543457,politician,0.006666666666666666,0,majority-vote,2,5.269050598144531e-05,0.01715230941772461,1.0,2.8566932678222656,0.18465227817745802,0.3117408906882591,1
0.06235814094543457,politician,0.01,0,majority-vote,2,5.269050598144531e-05,0.01716303825378418,1.0,2.8566932678222656,0.34841628959276016,0.5167785234899328,1
0.06235814094543457,politician,0.013333333333333332,0,majority-vote,2,5.269050598144531e-05,0.017001628875732422,1.0,2.8566932678222656,0.4583333333333333,0.6285714285714286,1
0.06235814094543457,politician,0.016666666666666666,0,majority-vote,2,5.269050598144531e-05,0.016981124877929688,1.0,2.8566932678222656,0.5968992248062015,0.7475728155339806,1
0.06235814094543457,politician,0.02,0,majority-vote,2,5.269050598144531e-05,0.01690196990966797,1.0,2.8566932678222656,0.875,0.9333333333333333,1
0.06235814094543457,politician,0.023333333333333334,0,majority-vote,2,5.269050598144531e-05,0.01684117317199707,1.0,2.8566932678222656,0.9506172839506173,0.9746835443037974,1
0.06235814094543457,politician,0.026666666666666665,0,majority-vote,2,5.269050598144531e-05,0.01683783531188965,1.0,2.8566932678222656,0.9506172839506173,0.9746835443037974,1
0.06235814094543457,politician,0.03,0,majority-vote,2,5.269050598144531e-05,0.01674175262451172,1.0,2.8566932678222656,1.0,1.0,1
0.06235814094543457,politician,0,0,weighted-vote,2,5.269050598144531e-05,0.04730081558227539,0.0,2.8566932678222656,0.0,0.0,1
0.06235814094543457,politician,0,1,weighted-vote,2,5.269050598144531e-05,0.05160856246948242,0.23376623376623376,2.8566932678222656,1.0,0.3789473684210526,1
